,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
94,Ancud,90,CL,1578432821,87,-41.87,-73.83,55.4,12.75
95,Flin Flon,20,CA,1578433578,63,54.77,-101.88,-9.4,8.05
96,Bjornevatn,75,NO,1578433579,95,69.67,29.98,33.8,27.51
97,Namatanai,100,PG,1578433127,74,-3.66,152.44,83.66,5.17
98,Manyana,75,AU,1578433581,68,-35.26,150.51,71.6,11.41
99,Alta Floresta,20,BR,1578433583,79,-9.87,-56.08,84.2,5.82
100,Knyaze-Volkonskoye,0,RU,1578433584,77,48.46,135.46,-2.2,4.47
101,Bluff,57,AU,1578433062,84,-23.58,149.07,72.39,9.13
102,Bima,100,ID,1578433586,93,-8.45,118.73,72.18,0.22
103,Vaini,0,IN,1578432983,79,15.34,74.49,65.88,1.43
104,Cayenne,40,GF,1578433135,78,4.94,-52.33,82.4,9.17
105,Hit,0,IQ,1578433306,50,33.64,42.83,54.79,10.36
106,Dikson,95,RU,1578433591,95,73.51,80.55,4.06,10.25
107,Shar,100,NG,1578433593,24,7.3,8.73,82.36,3.36
108,Vikhorevka,24,RU,1578433595,91,56.12,101.17,3.2,2.55
109,Pishin,0,PK,1578433454,71,30.58,67.0,32.7,8.97
110,San Quintin,33,PH,1578433254,88,17.54,120.52,68.68,3.71
111,Hobart,40,AU,1578433370,77,-42.88,147.33,68.0,4.7
112,Bandarbeyla,100,SO,1578433599,73,9.49,50.81,78.91,17.72
113,Koumac,70,NC,1578433600,71,-20.56,164.28,76.05,5.37
114,Dawlatabad,0,AF,1578433602,57,36.41,64.91,36.91,5.77
115,Khatanga,96,RU,1578433376,96,71.98,102.47,5.65,7.9
116,Port Elizabeth,90,US,1578433039,60,39.31,-74.98,46.0,3.36
117,Provideniya,0,RU,1578433169,93,64.42,-173.23,-12.57,1.21
118,Abalak,79,NE,1578433606,19,15.46,6.28,66.06,12.82
119,Bredasdorp,0,ZA,1578432845,88,-34.53,20.04,69.01,3.36
120,Bethel,1,US,1578433065,75,60.79,-161.76,-18.4,16.11
121,Gigmoto,100,PH,1578433609,84,13.78,124.39,80.08,17.07
122,Natal,75,BR,1578433562,78,-5.81,-35.21,84.2,12.75
123,Cabedelo,75,BR,1578433611,88,-6.97,-34.84,82.4,10.29
124,Srednekolymsk,34,RU,1578433597,99,67.46,153.71,-23.03,3.29
125,East London,100,ZA,1578433325,90,-33.02,27.91,73.2,16.6
126,Vao,100,EE,1578433458,82,59.1,26.19,38.34,13.85
127,Zhezkazgan,79,KZ,1578433615,98,47.8,67.71,5.18,3.18
128,Esperance,90,AU,1578433377,100,-33.86,121.89,64.4,8.05
129,Jamestown,0,AU,1578433600,30,-33.21,138.6,71.2,13.94
130,Bulungu,100,CD,1578433620,93,-4.54,18.6,72.52,2.48
131,Vestmannaeyjar,100,IS,1578433621,66,63.44,-20.27,31.57,45.21
132,Klaksvik,98,FO,1578433053,80,62.23,-6.59,35.6,32.21
133,Bubaque,2,GW,1578433624,61,11.28,-15.83,77.59,13.96
134,Rennes,90,FR,1578433513,93,48.11,-1.68,55.4,12.75
135,Mahebourg,75,MU,1578433199,88,-20.41,57.7,79.0,1.12
136,Mar del Plata,86,AR,1578433476,30,-46.43,-67.52,70.59,26.78
137,Mangrol,60,IN,1578433629,45,25.33,76.51,63.64,2.57
138,Yaan,100,NG,1578433631,24,7.38,8.57,82.36,3.36
139,Bambous Virieux,75,MU,1578433035,88,-20.34,57.76,79.0,1.12
140,Doha,0,QA,1578433111,63,25.29,51.53,64.4,4.7
141,Tuktoyaktuk,20,CA,1578432987,66,69.44,-133.03,-32.8,13.87
142,Gambela,9,ET,1578433635,47,8.25,34.59,82.74,3.38
143,Saverne,0,FR,1578433636,91,48.74,7.36,37.99,1.12
144,Hami,0,CN,1578433637,53,42.84,93.51,15.13,2.73
145,Cidreira,4,BR,1578433420,75,-30.17,-50.22,75.56,15.93
146,Clive,40,US,1578433639,56,41.61,-93.78,46.4,13.87
147,Kaitangata,55,NZ,1578433185,66,-46.28,169.85,55.99,8.01
148,Hammerfest,67,NO,1578433641,81,70.66,23.68,37.4,14.99
149,Richards Bay,96,ZA,1578433642,82,-28.77,32.06,77.81,12.66
150,Wanning,75,AT,1578433644,93,48.64,13.53,37.0,4.7
151,Mongar,45,BT,1578433645,93,27.28,91.24,24.69,3.53
152,Guerrero Negro,86,MX,1578433646,26,27.97,-114.04,72.18,5.17
153,Turbat,0,PK,1578433647,33,26.0,63.05,60.57,21.18
154,Kouango,51,CF,1578433649,35,4.99,19.98,77.92,2.33
155,Barberton,0,SZ,1578433650,94,-25.78,31.05,73.0,3.36
156,Diamantino,92,BR,1578433653,80,-14.4,-56.44,83.55,4.23
157,Hasaki,75,JP,1578433158,100,35.73,140.83,41.0,2.24
158,Fukue,75,JP,1578433655,93,35.03,136.69,61.0,10.29
159,Severo-Kurilsk,58,RU,1578433648,88,50.68,156.12,18.82,10.38
160,Castro,90,CL,1578433066,87,-42.48,-73.76,55.4,12.75
161,Altinopolis,20,BR,1578433659,66,-21.03,-47.37,84.2,4.25
162,Hermanus,0,ZA,1578433366,92,-34.42,19.24,69.01,1.99
163,Roald,75,NO,1578433347,81,62.58,6.12,48.2,23.04
164,Upernavik,100,GL,1578433238,75,72.79,-56.15,-13.02,3.8
165,Alofi,90,NU,1578433597,88,-19.06,-169.92,78.8,6.93
166,Thompson,20,CA,1578433167,76,55.74,-97.86,-11.2,6.93
167,Sabang,47,PH,1578433667,96,13.8,121.11,70.34,4.74
168,Nampula,75,MZ,1578433668,94,-15.12,39.26,71.6,4.7
169,Vardo,90,US,1578433665,86,39.62,-77.74,33.8,6.93
170,Cordoba,0,AR,1578433670,28,-27.78,-67.24,88.45,8.03
171,Nemuro,100,JP,1578433083,77,43.32,145.57,26.38,2.44
172,Saint-Philippe,1,CA,1578433604,68,45.36,-73.48,30.2,4.7
173,Saldanha,17,PT,1578433287,75,41.42,-6.55,39.09,1.12
174,Codrington,58,AU,1578433348,73,-28.95,153.24,78.01,1.12
175,Igarka,100,RU,1578433411,96,67.47,86.57,-1.71,12.73
176,Great Yarmouth,90,GB,1578433678,87,52.61,1.73,55.4,16.11
177,Cherskiy,0,RU,1578433595,76,68.75,161.3,-19.43,9.06
178,Lagoa,0,PT,1578433680,93,37.14,-8.45,54.0,3.36
179,Fort Nelson,40,CA,1578433434,75,58.81,-122.69,-20.2,2.24
180,Isangel,20,VU,1578433682,69,-19.55,169.27,82.4,6.93
181,Davila,75,PH,1578433685,88,18.47,120.58,71.6,3.36
182,Saskylakh,96,RU,1578433413,96,71.97,114.09,-3.95,8.19
183,Aden,91,YE,1578433690,76,12.79,45.03,77.16,9.17
184,Pasni,0,PK,1578433691,25,25.26,63.48,63.82,24.54
185,Chokurdakh,0,RU,1578433417,95,70.62,147.9,-24.77,5.23
186,Aksarka,0,RU,1578433677,87,66.56,67.8,-0.81,7.65
187,Misratah,100,LY,1578433694,59,32.38,15.09,58.05,13.71
188,Kruisfontein,99,ZA,1578433621,93,-34.0,24.73,67.6,8.88
189,Newport,90,GB,1578433573,100,51.59,-3.0,55.99,13.87
190,Geraldton,90,CA,1578433699,72,49.72,-86.95,10.4,10.29
191,Kamenka,0,MD,1578433700,89,48.03,28.7,18.0,3.24
192,San Cristobal,97,HN,1578433695,59,14.68,-86.92,76.5,10.16
193,Leningradskiy,55,RU,1578433702,93,69.38,178.42,-13.25,12.68
194,Kiama,75,AU,1578433704,68,-34.67,150.86,71.6,11.41
195,Hamilton,75,CA,1578433566,64,43.26,-79.87,39.99,10.29
196,Semey,59,KZ,1578433707,89,50.41,80.25,2.73,7.18
197,Cockburn Town,25,TC,1578433708,76,21.46,-71.14,78.39,11.97
198,Dingle,100,PH,1578433168,90,11.0,122.67,73.33,8.08
199,Namibe,100,AO,1578433690,81,-15.19,12.15,73.42,3.11
200,Lensk,100,RU,1578433711,93,60.71,114.91,17.73,12.41
201,Nacozari,34,MX,1578433712,45,25.34,-108.26,82.0,3.0
202,Kavaratti,59,IN,1578433638,74,10.57,72.64,81.99,10.27
203,Banepa,75,NP,1578433714,100,27.63,85.52,46.4,2.24
204,Ponta do Sol,100,BR,1578433296,79,-20.63,-46.0,78.35,4.45
205,Maragogi,0,BR,1578433653,69,-9.01,-35.22,80.98,12.68
206,Paragominas,64,BR,1578433718,83,-3.0,-47.35,78.8,2.75
207,Dubai,0,AE,1578433700,59,25.27,55.3,66.2,8.05
208,Darhan,0,MN,1578433720,90,49.49,105.92,-5.13,4.21
209,Itaituba,20,BR,1578433686,70,-4.26,-55.99,87.8,10.29
210,Hornepayne,96,CA,1578433724,87,49.22,-84.78,19.51,8.3
211,Milkovo,0,BG,1578433725,63,41.53,24.68,37.0,4.7
212,Vilyuysk,98,RU,1578433726,96,63.75,121.63,8.94,5.12
213,Tessalit,55,ML,1578433727,21,20.2,1.01,61.41,9.86
214,Kaspiyskiy,100,RU,1578433730,79,45.39,47.37,34.86,14.65
215,Senanga,45,ZM,1578433731,79,-16.1,23.3,70.97,4.36
216,Deep River,20,CA,1578433732,74,46.1,-77.49,32.0,8.05
217,Meulaboh,97,ID,1578433418,78,4.14,96.13,80.91,7.76
218,Sarai Naurang,18,PK,1578433734,77,32.83,70.78,45.27,3.62
219,Santa Cecilia,51,CR,1578433735,39,9.85,-84.31,80.6,23.04
220,Salalah,0,OM,1578433736,50,17.01,54.1,77.0,8.05
221,Touros,40,BR,1578433180,70,-5.2,-35.46,84.2,13.87
222,Aswan,0,EG,1578433644,48,24.09,32.9,52.61,12.44
223,Husavik,100,CA,1578433739,73,50.56,-96.99,1.99,10.0
224,Sioux Lookout,90,CA,1578433668,70,50.1,-91.92,1.4,20.8
225,Biak,100,ID,1578433640,74,-0.91,122.88,81.66,11.5
226,Lorengau,100,PG,1578433387,75,-2.02,147.27,83.55,4.65
227,Krutinka,81,RU,1578433745,93,56.01,71.51,1.13,2.44
228,Yermakovskoye,100,RU,1578433746,80,53.28,92.4,4.19,1.36
229,Ikom,100,NG,1578433748,33,5.96,8.72,80.55,1.95
230,Borogontsy,69,RU,1578433749,100,62.67,131.17,-15.41,2.26
231,Alyangula,100,AU,1578433750,100,-13.85,136.42,78.8,7.27
232,Arlit,27,NE,1578433751,14,18.74,7.39,64.83,14.54
233,Talnakh,75,RU,1578433610,84,69.49,88.39,3.2,26.84
234,Yucaipa,1,US,1578433609,18,34.03,-117.04,78.01,3.36
235,Bonavista,88,CA,1578433754,89,48.65,-53.11,22.46,5.46
236,Novyy Urengoy,100,RU,1578433677,92,66.08,76.63,-0.6,13.53
237,Shirokiy,81,RU,1578433406,94,53.87,39.17,23.14,7.02
238,Anisoc,70,GQ,1578433757,97,1.87,10.77,70.47,1.97
239,The Valley,40,AI,1578433709,74,18.22,-63.06,82.4,11.41
240,Ayagoz,92,KZ,1578433760,96,47.96,80.43,7.11,3.6
241,Araouane,100,ML,1578433761,14,18.9,-3.53,62.82,7.78
242,Margate,20,AU,1578433762,67,-43.03,147.26,68.0,6.93
243,Ubud,40,ID,1578433763,88,-8.51,115.26,80.6,13.87
244,Teahupoo,40,PF,1578433764,74,-17.83,-149.27,86.0,8.05
245,Izumo,20,JP,1578433765,58,35.37,132.75,59.0,38.03
246,Neuquen,0,AR,1578433766,19,-38.95,-68.06,87.01,5.01
247,Teguise,20,ES,1578433768,72,29.06,-13.56,60.8,10.29
248,Kupang,75,ID,1578433769,88,-10.16,123.6,78.8,6.93
249,Yoichi,75,JP,1578433770,85,43.19,140.77,21.0,6.93
250,Ust-Nera,100,RU,1578433408,99,64.57,143.24,-23.15,1.95
251,Ganzhou,13,CN,1578433773,92,25.86,114.93,44.51,3.96
252,Uige,100,AO,1578433774,96,-7.61,15.06,68.14,3.06
253,Madimba,40,CM,1578433775,94,4.42,9.93,80.6,1.12
254,Sobolevo,66,RU,1578433776,95,54.43,31.9,29.91,8.79
255,Chicama,40,PE,1578433777,67,-7.84,-79.15,74.05,9.78
256,Los Alamos,1,US,1578433778,30,35.88,-106.3,44.6,4.7
257,Barra do Garcas,75,BR,1578433691,94,-15.89,-52.26,77.0,3.2
258,Avesta,100,SE,1578433780,75,60.15,16.18,44.01,17.22
259,Sola,20,TZ,1578433781,84,-3.17,33.8,67.08,0.49
260,Ballina,100,IE,1578433782,87,54.11,-9.15,48.0,8.99
261,Juba,90,EE,1578433783,93,57.82,26.93,37.99,11.41
262,Kwinana,0,AU,1578433784,88,-32.25,115.77,66.99,8.05
263,Almaznyy,75,RU,1578433218,100,48.03,40.04,30.2,11.18
264,La Palma,6,CO,1578433788,62,5.36,-74.39,81.05,3.33
265,Yulara,100,AU,1578433789,48,-25.24,130.99,82.4,9.17
266,Sinnamary,10,GF,1578433675,82,5.38,-52.96,80.85,15.41
267,Rosetta,60,EG,1578433791,71,31.4,30.42,57.67,24.96
268,Fortuna,90,US,1578433656,76,40.6,-124.16,55.4,10.29
269,Arman,100,RU,1578433793,81,59.7,150.17,9.9,9.17
270,Saint-Paul,74,FR,1578433794,100,45.22,1.9,44.01,0.78
271,Ixtapa,5,MX,1578433795,47,20.71,-105.21,80.6,5.82
272,Angoche,100,MZ,1578433796,96,-16.23,39.91,75.51,5.01
273,Canela,40,BR,1578433500,61,-29.36,-50.81,82.0,6.93
274,Itape,40,PY,1578433799,52,-25.78,-57.3,89.6,4.7
275,Sarila,4,IN,1578433801,65,25.77,79.68,56.8,8.63
276,Zakamensk,0,RU,1578433802,89,50.38,103.29,-8.7,2.64
277,Qandala,74,SO,1578433803,72,11.47,49.87,75.9,5.84
278,Santa Maria,40,BR,1578433804,74,-16.02,-48.01,78.8,6.93
279,Aqtobe,75,KZ,1578433805,92,50.28,57.21,24.8,1.32
280,Desnogorsk,100,RU,1578433806,95,54.15,33.29,28.87,6.13
281,Ahipara,0,NZ,1578433807,84,-35.17,173.16,66.0,1.01
282,Zhigansk,100,RU,1578433160,97,66.77,123.37,-5.87,8.14
283,Georgetown,40,GY,1578433809,83,6.8,-58.16,84.2,9.17
284,Makakilo City,20,US,1578433769,73,21.35,-158.09,80.6,16.11
285,Adrar,50,DZ,1578433811,27,27.87,-0.29,53.6,11.41
286,Hofn,68,IS,1578433382,63,64.25,-15.21,35.98,54.42
287,Makungu,100,TZ,1578433814,97,-8.74,35.29,58.5,1.66
288,Ipanguacu,40,BR,1578433815,74,-5.5,-36.85,86.0,13.87
289,Neulengbach,75,AT,1578433817,90,48.2,15.91,39.99,2.24
290,Longyearbyen,40,NO,1578433818,68,78.22,15.63,28.4,44.96
291,Westport,1,US,1578433819,64,41.14,-73.36,42.01,4.7
292,Batagay,97,RU,1578433820,85,67.65,134.64,-13.18,1.32
293,Balkanabat,3,TM,1578433822,66,39.51,54.36,39.2,18.72
294,Ploemeur,90,FR,1578433824,100,47.73,-3.43,54.0,16.11
295,Mayo,90,CA,1578433641,62,63.59,-135.9,-13.0,4.7
296,Lavrentiya,64,RU,1578433788,96,65.58,-170.99,-12.42,3.2
297,Kamaishi,100,JP,1578433828,98,39.28,141.86,34.81,4.16
298,Wadi Musa,100,JO,1578433829,69,30.32,35.48,41.04,13.42
299,Lashio,0,MM,1578433830,96,22.93,97.75,52.27,1.43
300,Wattegama,99,LK,1578433831,92,7.35,80.68,71.26,3.29
301,Sao Miguel do Araguaia,94,BR,1578433832,84,-13.28,-50.16,80.22,4.29
302,Byron Bay,75,AU,1578433776,65,-28.65,153.62,81.0,5.82
303,Sturgis,8,CA,1578433835,90,51.94,-102.54,-10.84,7.27
304,Canguaretama,75,BR,1578433836,78,-6.38,-35.14,82.4,12.75
305,Conceicao do Araguaia,40,BR,1578433837,72,-8.26,-49.26,82.24,1.1
306,Tecoanapa,20,MX,1578433838,70,16.99,-99.26,86.0,6.93
307,Sambava,98,MG,1578433839,97,-14.27,50.17,73.31,2.19
308,Kutum,0,SD,1578433378,28,14.2,24.66,63.46,5.28
309,Clyde River,20,CA,1578433842,67,70.47,-68.59,-27.4,3.36
310,Marsa Matruh,2,EG,1578433843,65,31.35,27.25,58.28,32.57
311,General Jose Eduvigis Diaz,0,PY,1578433844,31,-27.17,-58.42,87.8,6.93
312,Port Moresby,75,PG,1578433845,94,-9.47,147.16,78.8,5.82
313,Bayburt,100,TR,1578433846,93,40.26,40.22,20.8,4.97
314,Coahuayana,47,MX,1578433847,24,18.62,-100.35,90.86,4.05
315,Yeppoon,72,AU,1578433806,73,-23.13,150.74,77.0,8.05
316,Saint Joseph,1,US,1578433730,37,39.77,-94.85,54.0,23.04
317,Pisco,0,PE,1578433401,30,-13.71,-76.2,73.0,9.17
318,Hirara,20,JP,1578433676,100,24.8,125.28,64.4,2.24
319,Whakatane,100,NZ,1578433622,92,-37.96,176.99,52.57,4.38
320,Leshukonskoye,98,RU,1578433856,95,64.9,45.76,16.45,7.49
321,Ankazoabo,100,MG,1578433857,75,-22.29,44.51,70.21,1.88
322,Artyom,75,RU,1578433695,78,43.36,132.19,17.6,11.18
323,Damghan,0,IR,1578433859,63,36.17,54.34,35.19,1.79
324,Nagato,75,JP,1578433860,82,34.35,131.14,57.2,19.46
325,Saint-Augustin,75,CA,1578433861,62,45.63,-73.98,28.0,2.35
326,Ohara,75,JP,1578433862,93,35.12,135.83,51.8,10.29
327,Zatoka,90,PL,1578433863,74,50.04,20.52,36.0,8.05
328,Tual,100,ID,1578433864,80,-5.67,132.75,82.24,6.33
329,Panacan,75,PH,1578433865,88,7.15,125.66,75.2,2.24
330,Hambantota,100,LK,1578433867,100,6.12,81.12,75.2,4.7
331,Polunochnoye,6,RU,1578433868,88,60.87,60.43,4.59,4.65
332,Skjervoy,100,NO,1578433869,70,70.03,20.97,37.4,19.46
333,Rocha,0,UY,1578433835,23,-34.48,-54.34,77.47,9.78
334,Seoul,90,KR,1578433808,100,37.57,126.98,37.4,1.12
335,Lata,100,IN,1578433873,97,30.78,78.62,14.27,4.14
336,Gravdal,75,NO,1578433874,93,59.79,5.78,48.99,27.51
337,Santa Helena de Goias,100,BR,1578433876,88,-17.81,-50.6,78.62,2.44
338,Sahuaripa,100,MX,1578433877,23,29.05,-109.23,72.25,2.28
339,Narsaq,59,GL,1578433878,72,60.91,-46.05,10.4,9.15
340,Adeje,92,NG,1578433880,64,5.68,5.76,79.84,4.65
341,Los Llanos de Aridane,75,ES,1578433326,68,28.66,-17.92,64.4,8.05
342,Basoko,17,CD,1578433882,56,1.23,23.61,74.82,1.92
343,Olinda,90,AU,1578433883,82,-37.84,145.39,66.0,9.17
344,Alice Springs,100,AU,1578433884,50,-23.7,133.88,77.0,4.7
345,Nanortalik,100,GL,1578433616,87,60.14,-45.24,24.4,24.43
346,Canutama,100,BR,1578433886,96,-6.53,-64.38,77.23,5.19
347,Cairns,40,AU,1578433622,83,-16.92,145.77,82.0,6.93
348,Besikduzu,75,TR,1578433888,47,41.05,39.23,55.4,3.36
349,Romanovo,100,RU,1578433889,96,56.49,40.39,25.59,7.78
350,Bonthe,87,SL,1578433890,76,7.53,-12.5,77.11,6.06
351,Constitucion,5,MX,1578433893,16,23.99,-104.67,64.4,8.05
352,Barreiras,88,BR,1578433894,76,-12.14,-45.0,78.35,0.83
353,Pemagatsel,0,BT,1578433895,72,27.03,91.43,41.72,4.18
354,Katsuura,75,JP,1578433778,93,33.93,134.5,59.0,17.22
355,Marsh Harbour,55,BS,1578433827,60,26.54,-77.06,70.29,3.62
356,Jalu,0,LY,1578433453,75,29.03,21.55,49.75,10.29
357,Gobabis,67,NA,1578433899,77,-22.45,18.97,69.91,8.9
358,Gat,100,SN,1578433444,56,14.69,-16.54,68.0,16.11
359,Porto Nacional,20,BR,1578433901,55,-10.7,-48.41,89.6,1.12
360,Fereydun Kenar,0,IR,1578433902,93,36.69,52.52,39.2,2.24
361,Sao Filipe,100,CV,1578433651,75,14.9,-24.5,68.31,23.91
362,Lethem,0,GY,1578433904,38,3.38,-59.8,92.21,15.28
363,Hastings,1,NZ,1578433883,54,-39.64,176.84,56.66,3.29
364,Riverton,1,US,1578433906,59,43.02,-108.38,42.01,4.7
365,Nizwa,0,OM,1578433908,57,22.93,57.53,59.23,1.81
366,Vanavara,100,RU,1578433910,96,60.35,102.28,8.69,5.68
367,Chipinge,1,ZW,1578433911,79,-20.19,32.62,68.95,5.57
368,Suleja,32,NG,1578433912,27,9.18,7.18,83.43,2.86
369,Puerto Leguizamo,18,CO,1578433853,40,-0.19,-74.78,92.73,5.97
370,Kysyl-Syr,100,RU,1578433645,97,63.9,122.77,1.51,2.64
371,Panchagarh,61,BD,1578433916,70,26.33,88.56,57.96,3.38
372,Karasuk,100,RU,1578433917,95,53.73,78.03,13.17,5.41
373,Bitkine,0,TD,1578433918,20,11.98,18.21,75.0,8.5
